stock_code,stock_name,level1,level2,level3
BK1002,激光雷达,科技与创新,智能制造,激光雷达
BK1157,飞行汽车(eVTOL),科技与创新,智能制造,飞行汽车
BK1182,智谱AI,科技与创新,人工智能,AI应用
BK0160,江西板块,区域与政策,地域板块,省份板块
BK0698,免疫治疗,消费与民生,医疗健康,医疗服务
BK0505,中字头,区域与政策,政策概念,特殊概念
BK0653,养老概念,消费与民生,消费服务,生活服务
BK0459,电子元件,科技与创新,半导体与电子,电子元件
BK0695,小金属概念,资源与能源,矿产资源,金属矿产
BK0470,造纸印刷,传统产业,基础工业,化工材料
BK0433,农牧饲渔,消费与民生,食品饮料,农业食品
BK1068,净水概念,资源与能源,环保产业,环保技术
BK1147,SPD概念,消费与民生,医疗健康,医疗服务
BK0731,化肥行业,资源与能源,矿产资源,化工原料
BK1161,英伟达概念,科技与创新,人工智能,AI应用
BK0422,物流行业,消费与民生,消费服务,生活服务
BK1169,Kimi概念,科技与创新,人工智能,大模型概念
BK1058,地下管网,传统产业,建筑与工程,装修装饰
BK1176,财税数字化,新兴概念,数字经济,数字技术
BK1129,数字水印,新兴概念,数字经济,数字技术
BK0501,次新股,区域与政策,政策概念,特殊概念
BK0166,天津板块,区域与政策,地域板块,直辖市
BK1037,消费电子,传统产业,制造业,电子制造
BK0706,人脑工程,新兴概念,特殊概念,其他概念
BK0835,独角兽,新兴概念,新兴应用,特殊概念
BK0800,人工智能,科技与创新,人工智能,AI应用
BK0464,石油行业,资源与能源,能源产业,传统能源
BK0870,单抗概念,消费与民生,医疗健康,医药制造
BK0822,租售同权,金融与地产,房地产,地产概念
BK0596,融资融券,区域与政策,政策概念,特殊概念
BK0816,昨日连板,区域与政策,交易概念,交易状态
BK0990,快递概念,消费与民生,消费服务,生活服务
BK0420,航空机场,传统产业,制造业,机械设备
BK0534,成渝特区,区域与政策,政策概念,区域发展
BK1026,调味品概念,消费与民生,食品饮料,食品制造
BK1141,混合现实,新兴概念,特殊概念,技术概念
BK0578,稀土永磁,资源与能源,矿产资源,金属矿产
BK0146,黑龙江,区域与政策,地域板块,省份板块
BK0595,风能,资源与能源,能源产业,新能源
BK0837,互联医疗,消费与民生,医疗健康,医疗服务
BK0915,WiFi,科技与创新,通信与网络,通信技术
BK0617,石墨烯,科技与创新,新兴技术,新材料
BK0942,商汤概念,新兴概念,平台经济,互联网平台
BK0879,标准普尔,区域与政策,指数概念,主要指数
BK0991,工程机械概念,传统产业,制造业,机械设备
BK0664,婴童概念,消费与民生,消费服务,生活服务
BK0895,维生素,消费与民生,食品饮料,食品制造
BK0735,计算机设备,传统产业,制造业,电子制造
BK1151,短剧互动游戏,消费与民生,文化娱乐,传媒娱乐
BK1152,高带宽内存,科技与创新,通信与网络,网络设备
BK0974,化妆品概念,消费与民生,消费服务,生活服务
BK0847,影视概念,消费与民生,文化娱乐,传媒娱乐
BK0803,股权转让,区域与政策,政策概念,特殊概念
BK0511,ST股,区域与政策,政策概念,特殊概念
BK0643,上海自贸,区域与政策,政策概念,区域发展
BK0514,参股券商,金融与地产,金融服务,投资服务
BK0900,新能源车,科技与创新,新能源技术,电池技术
BK1104,信创,科技与创新,人工智能,AI应用
BK1090,机器人概念,科技与创新,智能制造,机器人技术
BK0675,病毒防治,消费与民生,医疗健康,医疗服务
BK0494,节能环保,资源与能源,环保产业,环保技术
BK1172,AI语料,科技与创新,人工智能,大模型概念
BK0888,农业种植,消费与民生,食品饮料,农业食品
BK1080,新型城镇化,区域与政策,政策概念,国家战略
BK0545,通用设备,传统产业,制造业,机械设备
BK0641,智能穿戴,传统产业,制造业,电子制造
BK1033,电池,科技与创新,新能源技术,电池技术
BK0574,锂电池,科技与创新,新能源技术,电池技术
BK1048,IGBT概念,科技与创新,半导体与电子,电子元件
BK0965,社区团购,新兴概念,平台经济,电商概念
BK0454,塑料制品,传统产业,基础工业,化工材料
BK1094,钙钛矿电池,科技与创新,新能源技术,光伏技术
BK0995,华为昇腾,新兴概念,平台经济,互联网平台
BK0703,超级电容,科技与创新,新能源技术,储能技术
BK0473,证券,金融与地产,金融服务,银行保险
BK1168,铜缆高速连接,科技与创新,通信与网络,网络设备
BK0456,家电行业,传统产业,制造业,电子制造
BK0832,工业互联,科技与创新,智能制造,工业自动化
BK0499,AH股,区域与政策,资金概念,外资概念
BK1023,培育钻石,新兴概念,特殊概念,材料概念
BK0169,四川板块,区域与政策,地域板块,省份板块
BK0963,商业航天,科技与创新,智能制造,工业自动化
BK1044,生物制品,消费与民生,医疗健康,医药制造
BK1162,AI手机,科技与创新,人工智能,AI应用
BK1086,粮食概念,消费与民生,食品饮料,农业食品
BK0447,互联网服务,新兴概念,平台经济,互联网平台
BK1093,汽车一体化压铸,传统产业,制造业,汽车制造
BK0428,电力行业,资源与能源,能源产业,能源设备
BK1165,娃哈哈概念,新兴概念,新兴应用,特殊概念
BK1057,电子纸概念,科技与创新,半导体与电子,电子元件
BK0841,体外诊断,消费与民生,医疗健康,医疗器械
BK1034,电源设备,资源与能源,能源产业,能源设备
BK0528,转债标的,区域与政策,政策概念,特殊概念
BK0588,太阳能,资源与能源,能源产业,新能源
BK0880,UWB概念,科技与创新,通信与网络,通信技术
BK0959,数字阅读,新兴概念,数字经济,数字技术
BK1111,AIGC概念,科技与创新,人工智能,大模型概念
BK1138,液冷概念,科技与创新,通信与网络,网络设备
BK0149,安徽板块,区域与政策,地域板块,省份板块
BK0896,白酒,消费与民生,食品饮料,食品制造
BK1069,智慧灯杆,新兴概念,新兴应用,智能应用
BK0152,甘肃板块,区域与政策,地域板块,省份板块
BK1125,电子后视镜,科技与创新,半导体与电子,电子元件
BK0866,人造肉,新兴概念,特殊概念,材料概念
BK1108,科创板做市股,区域与政策,指数概念,特色指数
BK0872,青蒿素,消费与民生,医疗健康,医药制造
BK0742,创业板综,区域与政策,指数概念,特色指数
BK0579,云计算,科技与创新,人工智能,算力与芯片
BK1150,新型工业化,区域与政策,政策概念,国家战略
BK0875,ETC,科技与创新,通信与网络,通信技术
BK0581,智能电网,传统产业,制造业,电子制造
BK0610,央视50_,区域与政策,指数概念,主要指数
BK0172,浙江板块,区域与政策,地域板块,省份板块
BK0728,环保行业,资源与能源,环保产业,环保技术
BK0877,PCB,科技与创新,半导体与电子,电子元件
BK0711,券商概念,金融与地产,金融服务,银行保险
BK1128,CPO概念,科技与创新,通信与网络,网络设备
BK0997,NFT概念,新兴概念,区块链技术,区块链
BK0523,新材料,科技与创新,新兴技术,新材料
BK1019,化学原料,传统产业,基础工业,化工材料
BK0904,广电,消费与民生,文化娱乐,传媒娱乐
BK0801,增强现实,新兴概念,特殊概念,技术概念
BK1039,电子化学品,科技与创新,半导体与电子,电子元件
BK1178,AI眼镜,科技与创新,人工智能,AI应用
BK0568,深成500,区域与政策,指数概念,主要指数
BK0546,玻璃玻纤,传统产业,基础工业,化工材料
BK0981,工业气体,传统产业,基础工业,化工材料
BK0600,参股新三板,金融与地产,金融服务,投资服务
BK0952,第三代半导体,科技与创新,半导体与电子,半导体材料
BK1089,汽车热管理,传统产业,制造业,汽车制造
BK0625,通用航空,传统产业,制造业,机械设备
BK1110,Web3.0,新兴概念,区块链技术,区块链
BK0566,滨海新区,区域与政策,政策概念,区域发展
BK0907,转基因,消费与民生,食品饮料,农业食品
BK0163,青海板块,区域与政策,地域板块,省份板块
BK0833,小米概念,新兴概念,平台经济,互联网平台
BK1031,光伏设备,资源与能源,能源产业,能源设备
BK1016,汽车服务,传统产业,制造业,汽车制造
BK1065,气溶胶检测,新兴概念,特殊概念,材料概念
BK0830,区块链,新兴概念,区块链技术,区块链
BK1092,麒麟电池,科技与创新,新能源技术,电池技术
BK1070,土壤修复,资源与能源,环保产业,环保技术
BK0881,3D玻璃,新兴概念,特殊概念,技术概念
BK0867,富时罗素,区域与政策,指数概念,主要指数
BK0493,新能源,资源与能源,能源产业,新能源
BK0924,地摊经济,新兴概念,新兴应用,特殊概念
BK0850,进口博览,区域与政策,政策概念,国家战略
BK0926,湖北自贸,区域与政策,政策概念,区域发展
BK0484,贸易行业,传统产业,制造业,机械设备
BK0849,京东金融,新兴概念,平台经济,互联网平台
BK0634,大数据,科技与创新,人工智能,算力与芯片
BK1017,采掘行业,资源与能源,矿产资源,金属矿产
BK1190,虚拟机器人,科技与创新,人工智能,AI应用
BK1196,2025中报扭亏,区域与政策,交易概念,业绩概念
BK0935,中芯概念,科技与创新,半导体与电子,芯片设计制造
BK1163,可控核聚变,科技与创新,新兴技术,量子与核能
BK0520,社保重仓,区域与政策,资金概念,机构资金
BK0479,钢铁行业,传统产业,基础工业,钢铁有色
BK0614,食品安全,消费与民生,食品饮料,食品制造
BK1072,中俄贸易概念,区域与政策,政策概念,国家战略
BK0475,银行,金融与地产,金融服务,银行保险
BK1124,毫米波概念,科技与创新,通信与网络,通信技术
BK0696,国产软件,科技与创新,人工智能,AI应用
BK1084,数字哨兵,新兴概念,数字经济,数字技术
BK0500,HS300_,区域与政策,指数概念,主要指数
BK1180,华为海思,科技与创新,半导体与电子,芯片设计制造
BK1166,低空经济,科技与创新,智能制造,工业自动化
BK0891,国产芯片,科技与创新,半导体与电子,芯片设计制造
BK1102,空气能热泵,资源与能源,能源产业,能源设备
BK0999,茅指数,区域与政策,指数概念,特色指数
BK0682,燃料电池,科技与创新,新能源技术,电池技术
BK1192,雅下水电概念,资源与能源,能源产业,新能源
BK0944,肝素概念,消费与民生,医疗健康,医药制造
BK1049,EDR概念,传统产业,制造业,汽车制造
BK0918,特高压,资源与能源,能源产业,能源设备
BK0949,氦气概念,新兴概念,特殊概念,材料概念
BK0676,独家药品,消费与民生,医疗健康,医药制造
BK0938,代糖概念,消费与民生,食品饮料,食品制造
BK1121,第四代半导体,科技与创新,半导体与电子,半导体材料
BK1014,发电机概念,资源与能源,能源产业,能源设备
BK0953,鸿蒙概念,新兴概念,平台经济,互联网平台
BK0886,智慧政务,新兴概念,新兴应用,智能应用
BK0862,超级真菌,消费与民生,医疗健康,医疗服务
BK1184,人形机器人,科技与创新,智能制造,机器人技术
BK1073,啤酒概念,消费与民生,食品饮料,食品制造
BK0914,医废处理,资源与能源,环保产业,循环经济
BK0622,地热能,资源与能源,能源产业,新能源
BK1071,跨境支付,新兴概念,区块链技术,区块链
BK1012,PVDF概念,传统产业,基础工业,化工材料
BK0960,无线充电,科技与创新,通信与网络,通信技术
BK0705,上证380,区域与政策,指数概念,主要指数
BK0998,机器视觉,科技与创新,智能制造,机器人技术
BK0535,QFII重仓,区域与政策,资金概念,机构资金
BK0481,汽车零部件,传统产业,制造业,汽车制造
BK0939,辅助生殖,消费与民生,医疗健康,医疗服务
BK0156,河南板块,区域与政策,地域板块,省份板块
BK0476,装修建材,传统产业,建筑与工程,装修装饰
BK0936,长寿药,消费与民生,食品饮料,食品制造
BK1064,东数西算,科技与创新,人工智能,算力与芯片
BK1174,合成生物,科技与创新,新兴技术,生物技术
BK0985,换电概念,科技与创新,新能源技术,电池技术
BK0884,光刻机(胶),科技与创新,半导体与电子,芯片设计制造
BK0809,AI智能体,科技与创新,人工智能,大模型概念
BK0932,尾气治理,资源与能源,环保产业,环保技术
BK0814,大飞机,传统产业,制造业,机械设备
BK0632,土地流转,金融与地产,房地产,地产概念
BK1126,ChatGPT概念,科技与创新,人工智能,大模型概念
BK0619,3D打印,新兴概念,特殊概念,技术概念
BK0902,MiniLED,科技与创新,半导体与电子,电子元件
BK0519,稀缺资源,资源与能源,矿产资源,金属矿产
BK0548,生物疫苗,消费与民生,医疗健康,医药制造
BK1177,荣耀概念,新兴概念,平台经济,互联网平台
BK1029,汽车整车,传统产业,制造业,汽车制造
BK0922,数据中心,科技与创新,人工智能,算力与芯片
BK1095,钒电池,科技与创新,新能源技术,电池技术
BK0845,百度概念,新兴概念,平台经济,互联网平台
BK1005,专精特新,区域与政策,政策概念,国家战略
BK1025,预制菜概念,消费与民生,食品饮料,食品制造
BK0937,蚂蚁概念,新兴概念,平台经济,互联网平台
BK0873,垃圾分类,资源与能源,环保产业,循环经济
BK0612,上证180_,区域与政策,指数概念,主要指数
BK0887,鸡肉概念,消费与民生,食品饮料,农业食品
BK1155,小米汽车,新兴概念,平台经济,互联网平台
BK0655,网络安全,科技与创新,人工智能,AI应用
BK0899,CRO,消费与民生,医疗健康,医疗服务
BK0927,免税概念,消费与民生,消费服务,零售商业
BK0732,贵金属,资源与能源,矿产资源,金属矿产
BK0724,海绵城市,传统产业,建筑与工程,装修装饰
BK1007,植物照明,新兴概念,特殊概念,材料概念
BK1038,光学光电子,科技与创新,半导体与电子,电子元件
BK0966,碳交易,资源与能源,环保产业,环保技术
BK0427,公用事业,传统产业,制造业,机械设备
BK0859,超清视频,消费与民生,文化娱乐,传媒娱乐
BK0740,教育,消费与民生,文化娱乐,传媒娱乐
BK0498,AB股,区域与政策,资金概念,外资概念
BK1148,BC电池,科技与创新,新能源技术,光伏技术
BK0699,全息技术,新兴概念,特殊概念,技术概念
BK1006,碳基材料,科技与创新,新兴技术,新材料
BK0684,京津冀,区域与政策,政策概念,区域发展
BK0957,拼多多概念,新兴概念,平台经济,互联网平台
BK0736,通信服务,科技与创新,通信与网络,通信技术
BK0843,天然气,资源与能源,能源产业,传统能源
BK0153,广东板块,区域与政策,地域板块,省份板块
BK0955,C2M概念,新兴概念,平台经济,电商概念
BK1106,创新药,消费与民生,医疗健康,医药制造
BK0852,冷链物流,消费与民生,消费服务,生活服务
BK0707,沪股通,区域与政策,资金概念,外资概念
BK0865,电子烟,消费与民生,消费服务,生活服务
BK0883,数字货币,新兴概念,区块链技术,区块链
BK0638,创业成份,区域与政策,指数概念,特色指数
BK0668,医疗器械概念,消费与民生,医疗健康,医疗器械
BK1145,机器人执行器,科技与创新,智能制造,机器人技术
BK0145,上海板块,区域与政策,地域板块,直辖市
BK0547,黄金概念,资源与能源,矿产资源,金属矿产
BK1133,ERP概念,科技与创新,人工智能,AI应用
BK1063,重组蛋白,消费与民生,医疗健康,医药制造
BK0450,航运港口,传统产业,制造业,机械设备
BK0842,富士康,新兴概念,平台经济,互联网平台
BK1077,统一大市场,区域与政策,政策概念,国家战略
BK0680,智能家居,传统产业,制造业,电子制造
BK1170,AI制药（医疗）,科技与创新,人工智能,AI应用
BK0704,无人机,科技与创新,智能制造,工业自动化
BK0807,共享经济,新兴概念,新兴应用,特殊概念
BK0480,航天航空,传统产业,制造业,机械设备
BK0492,煤化工,资源与能源,矿产资源,化工原料
BK0868,GDR,区域与政策,资金概念,外资概念
BK0714,5G概念,科技与创新,通信与网络,通信技术
BK0150,北京板块,区域与政策,地域板块,直辖市
BK0538,化学制品,传统产业,基础工业,化工材料
BK0947,屏下摄像,科技与创新,半导体与电子,电子元件
BK0567,股权激励,区域与政策,政策概念,特殊概念
BK0590,西部大开发,区域与政策,政策概念,区域发展
BK0905,传感器,科技与创新,半导体与电子,电子元件
BK0989,储能,科技与创新,新能源技术,储能技术
BK0994,空间站概念,科技与创新,智能制造,工业自动化
BK1075,电子身份证,新兴概念,数字经济,数字技术
BK0683,央国企改革,区域与政策,政策概念,国家战略
